League,Date,HomeTeam,AwayTeam,HomeGoals,AwayGoals,Result
Bundesliga 2,13/06/99,Dusseldorf,Cottbus,2.0,3.0,A
Bundesliga 2,13/06/99,F Koln,Oberhausen,0.0,0.0,D
Bundesliga 2,13/06/99,Greuther Furth,Hannover,2.0,1.0,D
Bundesliga 2,13/06/99,Karlsruhe,FC Koln,1.0,1.0,H
Bundesliga 2,13/06/99,Stuttgarter K,Mainz,3.0,3.0,D
Bundesliga 2,13/06/99,TB Berlin,Ulm,2.0,2.0,D
Bundesliga 2,13/06/99,Uerdingen,St Pauli,1.0,1.0,D
Bundesliga 2,13/06/99,Wattenscheid,Unterhaching,4.0,0.8,H
Bundesliga 2,17/06/99,Cottbus,Uerdingen,0.0,0.8,H
Bundesliga 2,17/06/99,FC Koln,Bielefeld,0.0,5.0,A
Bundesliga 2,17/06/99,Gutersloh,F Koln,1.0,1.0,H
Bundesliga 2,17/06/99,Hannover,Wattenscheid,0.0,1.0,H
Bundesliga 2,17/06/99,Mainz,TB Berlin,1.0,3.0,A
Bundesliga 2,17/06/99,Oberhausen,Dusseldorf,0.0,3.0,D
Bundesliga 2,17/06/99,St Pauli,Stuttgarter K,0.0,2.0,H
Bundesliga 2,17/06/99,Ulm,Greuther Furth,1.0,0.0,D
Bundesliga 2,17/06/99,Unterhaching,Karlsruhe,0.0,1.0,D
Bundesliga 2,11/08/00,Hannover,Nurnberg,3.0,1.0,D
Bundesliga 2,11/08/00,Stuttgarter K,Oberhausen,2.0,0.0,H
Bundesliga 2,12/08/00,Ahlen,St Pauli,2.0,6.0,A
Bundesliga 2,12/08/00,M'gladbach,Saarbrucken,2.0,0.0,D
Bundesliga 2,13/08/00,Bielefeld,Osnabruck,1.0,1.0,H
Bundesliga 2,13/08/00,Greuther Furth,Chemnitz,0.0,1.0,H
Bundesliga 2,13/08/00,Mannheim,Aachen,4.0,0.0,H
Bundesliga 2,13/08/00,Reutlingen,Mainz,0.0,2.0,H
Bundesliga 2,14/08/00,Duisburg,Ulm,1.0,2.0,D
Bundesliga 2,18/08/00,Chemnitz,Hannover,1.0,2.0,A
Bundesliga 2,18/08/00,St Pauli,Mannheim,1.0,1.2,H
Bundesliga 2,19/08/00,Aachen,Reutlingen,2.0,0.0,H
Bundesliga 2,19/08/00,Osnabruck,M'gladbach,2.0,3.0,A
Bundesliga 2,20/08/00,Mainz,Stuttgarter K,0.0,2.0,D
Bundesliga 2,20/08/00,Nurnberg,Ahlen,3.0,0.0,H
Bundesliga 2,20/08/00,Oberhausen,Duisburg,1.0,0.0,H
Bundesliga 2,20/08/00,Saarbrucken,Greuther Furth,3.0,1.0,H
Bundesliga 2,21/08/00,Ulm,Bielefeld,0.0,1.0,H
Bundesliga 2,04/09/00,M'gladbach,Ulm,1.0,1.2,H
Bundesliga 2,05/09/00,Bielefeld,Oberhausen,0.0,0.0,H
Bundesliga 2,05/09/00,Chemnitz,Saarbrucken,4.0,3.0,A
Bundesliga 2,05/09/00,Duisburg,Mainz,1.0,0.0,D
Bundesliga 2,05/09/00,Hannover,Ahlen,1.0,1.0,D
Bundesliga 2,05/09/00,Reutlingen,St Pauli,2.0,0.0,H
Bundesliga 2,06/09/00,Greuther Furth,Osnabruck,1.0,0.0,H
Bundesliga 2,06/09/00,Mannheim,Nurnberg,1.0,4.0,A
Bundesliga 2,06/09/00,Stuttgarter K,Aachen,0.0,3.0,D
Bundesliga 2,08/09/00,Mainz,Bielefeld,0.0,4.0,A
Bundesliga 2,08/09/00,Saarbrucken,Hannover,2.0,1.0,H
Bundesliga 2,09/09/00,Ahlen,Mannheim,1.0,2.0,D
Bundesliga 2,09/09/00,Nurnberg,Reutlingen,0.0,0.0,H
Bundesliga 2,10/09/00,Oberhausen,M'gladbach,1.0,1.0,D
Bundesliga 2,10/09/00,Osnabruck,Chemnitz,3.0,1.0,D
Bundesliga 2,10/09/00,St Pauli,Stuttgarter K,3.0,0.4,H
Bundesliga 2,10/09/00,Ulm,Greuther Furth,2.0,2.0,D
Bundesliga 2,11/09/00,Aachen,Duisburg,1.0,0.0,H
Bundesliga 2,15/09/00,Duisburg,St Pauli,0.0,0.8,H
Bundesliga 2,15/09/00,Hannover,Mannheim,5.0,0.0,H
Bundesliga 2,16/09/00,M'gladbach,Mainz,3.0,1.0,D
Bundesliga 2,16/09/00,Reutlingen,Ahlen,0.0,0.8,H
Bundesliga 2,17/09/00,Chemnitz,Ulm,1.0,0.0,H
Bundesliga 2,17/09/00,Greuther Furth,Oberhausen,1.0,2.0,D
Bundesliga 2,17/09/00,Saarbrucken,Osnabruck,0.0,1.0,H
Bundesliga 2,17/09/00,Stuttgarter K,Nurnberg,2.0,2.0,D
Bundesliga 2,18/09/00,Bielefeld,Aachen,1.0,1.0,D
Bundesliga 2,22/09/00,Nurnberg,Duisburg,1.0,1.0,H
Bundesliga 2,22/09/00,Ulm,Saarbrucken,2.0,1.0,H
Bundesliga 2,23/09/00,Mannheim,Reutlingen,3.0,1.0,D
Bundesliga 2,23/09/00,St Pauli,Bielefeld,2.0,0.0,H
Bundesliga 2,24/09/00,Ahlen,Stuttgarter K,3.0,1.0,D
Bundesliga 2,24/09/00,Mainz,Greuther Furth,5.0,0.0,H
Bundesliga 2,24/09/00,Oberhausen,Chemnitz,2.0,0.0,H
Bundesliga 2,24/09/00,Osnabruck,Hannover,3.0,1.0,H
